"Random_sequence_generation","Allocation_concealment","Blinding_of_participants_and_personnel","Blinding_of_outcome_assessment","Blinding_of_participant_personnel_outcome","Incomplete_outcome_data","Selective_outcome_reporting","Other_bias","Review","Study"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Low risk","CD001233","Kuppulakshmi 2016"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Low risk","CD001233","Laddad 2013"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Lanka 2014"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001233","Lemyre 2006"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Low risk","CD001233","Lewis 1983"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Lokkegaard 2015"
"Unclear risk","Low risk","Unclear risk","Unclear risk",NA,"High risk","Unclear risk","Low risk","CD001233","Lyndrup 1989"
"Unclear risk","Low risk","Unclear risk","Unclear risk",NA,"High risk","Low risk","Low risk","CD001233","Lyndrup 1994"
"Low risk","High risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Mackeen 2018"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Low risk","CD001233","Matonhodze 2003"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Low risk","CD001233","Mazhar 2003"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Low risk","CD001233","Meetei 2015"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Low risk","CD001233","Moini 2003"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Unclear risk","CD001233","Mullin 2002"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Mundle 2017"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Low risk","CD001233","Niromanesh 2003"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Noor 2015"
"Unclear risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Ntsaluba 1997"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Unclear risk","CD001233","Oliveira 2010"
"Low risk","High risk","Unclear risk","Unclear risk",NA,"High risk","Low risk","Low risk","CD001233","Ophir 1992"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"High risk","Low risk","Low risk","CD001233","Orhue 1995"
"Unclear risk","Low risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","High risk","CD001233","Peedicayil 1998"
"Unclear risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001233","Pennell 2009"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Perry 1998"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001233","Pineda Rivas 2016"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Unclear risk","CD001233","Prager 2008"
"High risk","High risk","Unclear risk","Unclear risk",NA,"Unclear risk","High risk","Low risk","CD001233","Qamar 2012"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001233","Ridgway 1991"
"Unclear risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Unclear risk","Low risk","CD001233","Roberts 1986"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"High risk","Low risk","Low risk","CD001233","Rouben 1993"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Low risk","CD001233","Roudsari 2011"
"High risk","High risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Roztocil 1998"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001233","Rudra 2012"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001233","Saleem 2006"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Low risk","CD001233","Salim 2011"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Low risk","CD001233","Sanchez-Ramos 1992"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001233","Sarreau 2016"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"High risk","Low risk","Low risk","CD001233","Sciscione 1999"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Low risk","CD001233","Sharami 2005"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","High risk","Unclear risk","CD001233","Shechter-Maor 2015"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"High risk","High risk","Low risk","CD001233","Sheikher 2009"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Unclear risk","CD001233","Solt 2009"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Low risk","CD001233","Somirathne 2017"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Low risk","CD001233","St Onge 1995"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Suffecool 2014"
"Unclear risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Sullivan 1996"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Unclear risk","CD001233","Tabowei 2003"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"High risk","Unclear risk","Low risk","CD001233","Tan 2015"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","ten Eikelder 2016"
"Unclear risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Thiery 1981"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"High risk","High risk","Unclear risk","CD001233","Tita 2006"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"High risk","Low risk","Low risk","CD001233","Turnquest 1997"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"High risk","Low risk","Unclear risk","CD001233","Wang 2012"
"Unclear risk","Low risk","Unclear risk","Unclear risk",NA,"High risk","Unclear risk","Low risk","CD001233","Wang 2014"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Wu 2017"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"High risk","Low risk","Low risk","CD001233","Yuen 1996"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001233","Zahoor 2014"
"Low risk","Low risk","High risk",NA,NA,NA,NA,NA,"CD001301","Bhattacharya 2001"
"Low risk","Low risk","Low risk",NA,NA,NA,NA,NA,"CD001301","Dang 2021"
"Unclear risk","Unclear risk","Unclear risk",NA,NA,NA,NA,NA,"CD001301","Foong 2006"
NA,NA,NA,"Unclear risk",NA,"Low risk","Low risk","Low risk",NA,"Bhattacharya 2001"
NA,NA,NA,"Unclear risk",NA,"High risk","Low risk","Low risk",NA,"Dang 2021"
NA,NA,NA,"Unclear risk",NA,"High risk","Unclear risk","Unclear risk",NA,"Foong 2006"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD001321","Afshar 2012"
"High risk","High risk","Low risk","Unclear risk",NA,"High risk","Low risk","High risk","CD001321","Avorn 1994"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","High risk","CD001321","Babar 2021"
"Low risk","Low risk","Low risk","Unclear risk",NA,"High risk","Low risk","High risk","CD001321","Barbosa-Cesnik 2011"
"Unclear risk","Unclear risk","Low risk","Unclear risk",NA,"Low risk","High risk","Low risk","CD001321","Bianco 2012"
"Low risk","High risk","High risk","Unclear risk",NA,"Low risk","Low risk","Unclear risk","CD001321","Bonetta 2017"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","High risk","CD001321","Bruyere 2019"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001321","Caljouw 2014"
"Low risk","Low risk","Low risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001321","Cowan 2012"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"High risk","High risk","Unclear risk","CD001321","De Leo 2017"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Unclear risk","CD001321","Dotis 2014"
"Unclear risk","Unclear risk","High risk","Unclear risk",NA,"High risk","Low risk","Unclear risk","CD001321","Essadi 2010"
"Unclear risk","Unclear risk","Low risk","Unclear risk",NA,"Unclear risk","Low risk","Unclear risk","CD001321","Fernandes 2016"
"Low risk","Unclear risk","High risk","Unclear risk",NA,"Low risk","Low risk","Unclear risk","CD001321","Ferrara 2009"
"Unclear risk","Unclear risk","High risk","Unclear risk",NA,"High risk","Unclear risk","Unclear risk","CD001321","Foda 1995"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD001321","Foxman 2015"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001321","Gallien 2014"
"High risk","High risk","Unclear risk","Unclear risk",NA,"High risk","Unclear risk","Unclear risk","CD001321","Haverkorn 1994"
"Unclear risk","Low risk","Low risk","Low risk",NA,"High risk","Low risk","Low risk","CD001321","Hess 2008"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk","Unclear risk","CD001321","Juthani-Mehta 2010"
"Low risk","Low risk","Low risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001321","Juthani-Mehta 2016"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD001321","Kontiokari 2001"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD001321","Koradia 2019"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"High risk","Low risk","Unclear risk","CD001321","Linsenmeyer 2004"
"Unclear risk","Unclear risk","Low risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001321","Lopes de Carvalho 2012"
"Low risk","Low risk","Low risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001321","Maki 2016"
"Unclear risk","Unclear risk","Low risk","Unclear risk",NA,"Low risk","Low risk","Unclear risk","CD001321","McGuiness 2002"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001321","McMurdo 2005"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001321","McMurdo 2009"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Low risk","Unclear risk","Low risk","CD001321","Mohammed 2016"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001321","Mooren 2020"
"Low risk","Low risk","Low risk","Low risk",NA,"Unclear risk","Low risk","Low risk","CD001321","NAPRUTI 2011"
"Low risk","Low risk","Low risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001321","Salo 2010"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001321","Schlager 1999"
"Unclear risk","Unclear risk","Low risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001321","Scovell 2015"
"Low risk","Low risk","High risk","Unclear risk",NA,"Low risk","Low risk","Unclear risk","CD001321","Sengupta 2011"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001321","SINBA 2007"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Unclear risk","CD001321","Singh 2016"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Unclear risk","Low risk","Unclear risk","CD001321","Stapleton 2012"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001321","Stothers 2002"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"High risk","High risk","Unclear risk","CD001321","Stothers 2016"
"Unclear risk","Unclear risk","Low risk","Unclear risk",NA,"High risk","Low risk","Unclear risk","CD001321","Takahashi 2013"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Unclear risk","CD001321","Temiz 2018"
"Unclear risk","Low risk","Low risk","Unclear risk",NA,"Unclear risk","Low risk","Unclear risk","CD001321","Uberos 2012"
"Low risk","Unclear risk","Low risk","Unclear risk",NA,"Unclear risk","Low risk","Unclear risk","CD001321","Vostalova 2015"
"Unclear risk","Unclear risk","Low risk","Unclear risk",NA,"High risk","Low risk","Unclear risk","CD001321","Waites 2004"
"Unclear risk","Low risk","Low risk","Low risk",NA,"High risk","Low risk","Unclear risk","CD001321","Walker 1997"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD001321","Wan 2016"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001321","Wing 2008"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","Low risk","Unclear risk","CD001321","Wing 2015"
"Low risk","Unclear risk","Unclear risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD001431","Allen 2010"
"Unclear risk","Unclear risk","Unclear risk","Low risk",NA,"High risk","Low risk","Low risk","CD001431","Allen 2018"
"Low risk","Low risk","Low risk","Low risk",NA,"Unclear risk","Low risk","High risk","CD001431","Aoki 2019"
"Low risk","Unclear risk","Unclear risk","Low risk",NA,"Unclear risk","Unclear risk","Low risk","CD001431","Arterburn 2011"
"Low risk","Unclear risk","High risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD001431","Auvinen 2004"
"Unclear risk","Unclear risk","Unclear risk","Low risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001431","Bailey 2016"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD001431","Barry 1997"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001431","Bekker 2004"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001431","Berger-Hoger 2019"
"Low risk","Unclear risk","Unclear risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD001431","Bergeron 2018"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD001431","Bernstein 1998"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD001431","Berry 2013"
"Low risk","Low risk","Low risk","Low risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001431","Berry 2018"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Unclear risk","Low risk","CD001431","Beulen 2016"
"Unclear risk","Low risk","Unclear risk","Low risk",NA,"Unclear risk","Unclear risk","Low risk","CD001431","Bjorklund 2012"
"Unclear risk","Unclear risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD001431","Bonner 2022"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Low risk","High risk","CD001431","Bourmaud 2016"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Unclear risk","Low risk","Low risk","CD001431","Bozic 2013"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","High risk","CD001431","Brazell 2014"
"Low risk","Unclear risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001431","Brown 2019"
"Low risk","Unclear risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001431","Carlson 2019"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001431","Carroll 2017"
"Low risk","Low risk","Unclear risk","Low risk",NA,"High risk","Unclear risk","Unclear risk","CD001431","Case 2019"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Unclear risk","Unclear risk","CD001431","Chabrera 2015"
"Low risk","Low risk","Unclear risk","Low risk",NA,"High risk","Low risk","Unclear risk","CD001431","Chambers 2012"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001431","Chen C 2021"
"Low risk","Unclear risk","Low risk","Unclear risk",NA,"Low risk","Unclear risk","Unclear risk","CD001431","Chen S 2021"
"Low risk","Unclear risk","Unclear risk","Low risk",NA,"Unclear risk","Unclear risk","High risk","CD001431","Clancy 1988"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD001431","Cox 2019"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001431","Coylewright 2016"
"Low risk","Unclear risk","Unclear risk","Low risk",NA,"High risk","Unclear risk","Low risk","CD001431","Crew 2022"
"Unclear risk","Unclear risk","High risk","Low risk",NA,"Unclear risk","Low risk","High risk","CD001431","Cuypers 2018"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Unclear risk","Low risk","CD001431","Davison 1997"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD001431","De Achaval 2012"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD001431","Dolan 2002"
"Low risk","Unclear risk","Unclear risk","Low risk",NA,"Low risk","Low risk","High risk","CD001431","Durand 2021"
"Low risk","Unclear risk","Unclear risk","Low risk",NA,"Unclear risk","Low risk","Unclear risk","CD001431","Ehrbar 2019"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001431","Elliott 2022"
"Unclear risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001431","Evans 2010"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Unclear risk","Unclear risk","Low risk","CD001431","Fagerlin 2011"
"Low risk","Unclear risk","Unclear risk","Low risk",NA,"Unclear risk","Low risk","Low risk","CD001431","Fisher 2020"
"Low risk","Unclear risk","Unclear risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD001431","Fraenkel 2007"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Unclear risk","Low risk","Low risk","CD001431","Fraenkel 2012"
"Unclear risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001431","Fraenkel 2015"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD001431","Frosch 2008a"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Unclear risk","Unclear risk","CD001431","Fung 2021"
"Low risk","Unclear risk","Unclear risk","Low risk",NA,"Unclear risk","Low risk","Low risk","CD001431","Gabel 2020a"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Unclear risk","Low risk","Low risk","CD001431","Gabel 2020b"
"Low risk","Low risk","High risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD001431","Gagne 2017"
"Unclear risk","Low risk","Unclear risk","Low risk",NA,"Unclear risk","Unclear risk","Low risk","CD001431","Gattellari 2003"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD001431","Gattellari 2005"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD001431","Gokce 2019"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Unclear risk","Unclear risk","CD001431","Gordon 2017"
"Low risk","Unclear risk","Unclear risk","Low risk",NA,"Unclear risk","Unclear risk","Low risk","CD001431","Green 2001"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Unclear risk","High risk","CD001431","Hamann 2006"
"Low risk","Unclear risk","Unclear risk","Low risk",NA,"Unclear risk","Low risk","Low risk","CD001431","Hanson 2011"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Unclear risk","Low risk","CD001431","Heller 2008"
"Low risk","Low risk","Low risk","Low risk",NA,"Unclear risk","Low risk","Low risk","CD001431","Hess 2012"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD001431","Hess 2016"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001431","Hess 2018"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Unclear risk","Low risk","CD001431","Hoffman 2017"
"Low risk","Unclear risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001431","Ibrahim 2013"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Low risk","Low risk","Low risk","CD001431","Ibrahim 2017"
"Low risk","Unclear risk","Low risk","Low risk",NA,"High risk","Low risk","Unclear risk","CD001431","Ickenroth 2016"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Unclear risk","Low risk","Unclear risk","CD001431","Jalil 2022"
"Low risk","Unclear risk","Unclear risk","Low risk",NA,"Unclear risk","Unclear risk","Low risk","CD001431","Jibaja-Weiss 2011"
"Low risk","Unclear risk","Unclear risk","Low risk",NA,"Low risk","Unclear risk","Unclear risk","CD001431","Johnson 2006"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Unclear risk","Low risk","Unclear risk","CD001431","Karagiannis 2016"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","Low risk","Unclear risk","CD001431","Kasper 2008"
