"Random_sequence_generation","Allocation_concealment","Blinding_of_participants_and_personnel","Blinding_of_outcome_assessment","Blinding_of_participant_personnel_outcome","Incomplete_outcome_data","Selective_outcome_reporting","Other_bias","Review","Study"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Deshmukh 2011"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001233","Dionne 2011"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Edwards 2014c"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","El Khouly 2017"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Filho 2002"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Unclear risk","CD001233","Garba 2016"
"Low risk","Low risk","Unclear risk","Low risk",NA,"Unclear risk","Low risk","Low risk","CD001233","Gelisen 2005"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001233","Gilson 2017"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001233","Glagoleva 1999"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"High risk","Low risk","Low risk","CD001233","Goonewardene 2014"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Unclear risk","Unclear risk","CD001233","Guinn 2000"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Low risk","CD001233","Gunawardena 2012"
"Unclear risk","Unclear risk","Unclear risk","Low risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001233","Haugland 2012"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001233","Hay 1995"
"Unclear risk","Low risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Low risk","CD001233","Hemlin 1998"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Henry 2013"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","High risk","CD001233","Hibbard 1998"
"Unclear risk","Low risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Low risk","CD001233","Hoppe 2016"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001233","Hudon 1999"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001233","Hughes 2002"
"High risk","High risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Low risk","CD001233","Jagani 1982"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Unclear risk","CD001233","Jalilian 2011"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Unclear risk","Low risk","CD001233","Jeeva 1982"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Low risk","CD001233","Johnson 1985"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Low risk","CD001233","Joshi 2016"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Jozwiak 2012"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Jozwiak 2013"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Jozwiak 2014"
"High risk","High risk","Unclear risk","Unclear risk",NA,"High risk","Low risk","Low risk","CD001233","Kandil 2012"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Low risk","Low risk","CD001233","Khamaiseh 2012"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"High risk","Low risk","Low risk","CD001233","Krammer 1995a"
"Unclear risk","Low risk","Unclear risk","Unclear risk",NA,"High risk","Low risk","High risk","CD001233","Kruit 2016"
